date,capacity,turnover,open,high,low,close,change,transaction
2019-01-02 00:00:00,10000,170000,17,17.05,17,17,-0.1,6
2019-01-03 00:00:00,14000,240000,17.05,17.05,17,17,0,9
2019-01-04 00:00:00,15000,248000,17.1,17.2,17,17.1,0.1,12
2019-01-07 00:00:00,17000,300000,17.2,17.6,17.15,17.6,0.5,20
2019-01-08 00:00:00,66000,1157000,17.6,17.85,17.2,17.85,0.25,35
2019-01-09 00:00:00,27000,486000,17.85,18,17.65,18,0.15,20
2019-01-10 00:00:00,7000,129000,18,18,17.95,17.95,-0.05,9
2019-01-11 00:00:00,28000,508000,17.95,18.3,17.7,18.3,0.35,17
2019-01-14 00:00:00,54000,1009000,19,19,18.35,18.7,0.4,39
2019-01-15 00:00:00,43000,813000,18.7,18.9,18.4,18.9,0.2,22
2019-01-16 00:00:00,9000,167000,18.65,18.8,18.65,18.8,-0.1,9
2019-01-17 00:00:00,16000,298000,18.8,18.8,18.5,18.5,-0.3,5
2019-01-18 00:00:00,13000,242000,18.45,18.45,18.1,18.45,-0.05,9
2019-01-21 00:00:00,23000,411000,18.2,18.65,18.1,18.65,0.2,17
2019-01-22 00:00:00,9000,171000,18.4,18.6,18.3,18.6,-0.05,9
2019-01-23 00:00:00,2000,28000,18.5,18.5,18.5,18.5,-0.1,3
2019-01-24 00:00:00,12000,217000,18,18.1,18,18.05,-0.45,11
2019-01-25 00:00:00,1000,20000,18.15,18.15,18.15,18.15,0.1,2
2019-01-28 00:00:00,7000,133000,18.2,18.3,18.2,18.25,0.1,9
2019-01-29 00:00:00,12000,222000,18.3,18.35,18.2,18.35,0.1,12
2019-01-30 00:00:00,0,1000,,,,,0,1
2019-02-11 00:00:00,8000,151000,18.3,18.3,18.15,18.15,-0.15,8
2019-02-12 00:00:00,27000,490000,18.15,18.15,18.05,18.05,-0.1,9
2019-02-13 00:00:00,75000,1361000,18.1,18.25,18,18.25,0.2,35
2019-02-14 00:00:00,15000,276000,18.05,18.2,18.05,18.2,-0.05,12
2019-02-15 00:00:00,14000,257000,18.15,18.3,18.15,18.3,0.1,13
2019-02-18 00:00:00,60000,1107000,18.3,18.5,18.3,18.35,0.05,24
2019-02-19 00:00:00,11000,193000,18.35,18.35,18.25,18.35,0,13
2019-02-20 00:00:00,25000,465000,18.35,18.4,18.35,18.35,0,13
2019-02-21 00:00:00,29000,520000,18.35,18.35,18.15,18.2,-0.15,17
2019-02-22 00:00:00,12000,212000,18.1,18.2,18.05,18.2,0,15
2019-02-25 00:00:00,17000,310000,18.2,18.3,18.15,18.2,0,17
2019-02-26 00:00:00,28000,510000,18.2,18.2,18.2,18.2,0,10
2019-02-27 00:00:00,10000,188000,18.2,18.2,18.1,18.2,0,9
2019-03-04 00:00:00,52000,938000,18.05,18.2,18,18.2,0,38
2019-03-05 00:00:00,22000,395000,18,18.2,17.95,18.2,0,18
2019-03-06 00:00:00,27000,490000,18.05,18.25,18.05,18.15,-0.05,18
2019-03-07 00:00:00,11000,195000,18.2,18.2,18.05,18.2,0.05,12
2019-03-08 00:00:00,15000,269000,18.05,18.2,18.05,18.1,-0.1,12
2019-03-11 00:00:00,57000,1025000,18.2,18.2,18,18.15,0.05,35
2019-03-12 00:00:00,25000,460000,18.15,18.25,18.15,18.2,0.05,19
2019-03-13 00:00:00,76000,1398000,18.25,18.45,18.25,18.3,0.1,45
2019-03-14 00:00:00,42000,770000,18.4,18.45,18.35,18.45,0.15,38
2019-03-15 00:00:00,41000,766000,18.4,18.55,18.4,18.55,0.1,30
2019-03-18 00:00:00,15000,284000,18.4,18.5,18.3,18.5,-0.05,13
2019-03-19 00:00:00,57000,1054000,18.6,18.6,18.4,18.45,-0.05,35
2019-03-20 00:00:00,25000,460000,18.45,18.5,18.3,18.5,0.05,23
2019-03-21 00:00:00,25000,457000,18.4,18.55,18.4,18.55,0.05,13
2019-03-22 00:00:00,63000,1173000,18.55,18.55,18.35,18.55,0,32
2019-03-25 00:00:00,19000,342000,18.55,18.55,18.45,18.55,0,15
2019-03-26 00:00:00,34000,624000,18.55,18.6,18.45,18.6,0.05,25
2019-03-27 00:00:00,29000,541000,18.45,18.55,18.45,18.55,-0.05,25
2019-03-28 00:00:00,12000,224000,18.5,18.55,18.4,18.55,0,14
2019-03-29 00:00:00,39000,714000,18.45,18.65,18.45,18.65,0.1,27
2019-04-01 00:00:00,47000,874000,18.5,18.55,18.45,18.5,-0.15,33
2019-04-02 00:00:00,27000,505000,18.6,18.6,18.35,18.45,-0.05,21
2019-04-03 00:00:00,28000,506000,18.5,18.5,18.35,18.4,-0.05,13
2019-04-08 00:00:00,59000,1085000,18.35,18.5,18.35,18.4,0,24
2019-04-09 00:00:00,28000,519000,18.4,18.5,18.35,18.45,0.05,19
2019-04-10 00:00:00,14000,261000,18.4,18.45,18.3,18.45,0,14
2019-04-11 00:00:00,42000,778000,18.4,18.4,18.3,18.35,-0.1,23
2019-04-12 00:00:00,45000,826000,18.3,18.35,18.2,18.2,-0.15,34
2019-04-15 00:00:00,25000,452000,18.25,18.25,18.1,18.15,-0.05,23
2019-04-16 00:00:00,98000,1771000,18.15,18.2,17.95,18.15,0,38
2019-04-17 00:00:00,17000,302000,18.15,18.2,18.15,18.15,0,18
2019-04-18 00:00:00,26000,472000,18.15,18.15,18.05,18.15,0,20
2019-04-19 00:00:00,9000,163000,18.1,18.15,18.1,18.15,0,8
2019-04-22 00:00:00,60000,1088000,18.15,18.2,18,18.2,0.05,27
2019-04-23 00:00:00,7000,133000,18.1,18.2,18.1,18.2,0,7
2019-04-24 00:00:00,26000,481000,18.2,18.25,18.05,18.25,0.05,22
2019-04-25 00:00:00,19000,343000,18.2,18.2,18,18.2,-0.05,20
2019-04-26 00:00:00,14000,260000,18.1,18.2,18.05,18.15,-0.05,15
2019-04-29 00:00:00,20000,364000,18.1,18.15,18,18.15,0,16
2019-04-30 00:00:00,28000,506000,18.15,18.15,18,18.15,0,14
2019-05-02 00:00:00,12000,219000,18.15,18.2,18.05,18.2,0.05,11
2019-05-03 00:00:00,25000,452000,18.2,18.2,18,18.2,0,17
2019-05-06 00:00:00,6000,110000,18,18.1,18,18.05,-0.15,6
2019-05-07 00:00:00,33000,602000,18.15,18.15,18,18.15,0.1,28
2019-05-08 00:00:00,17000,314000,18.1,18.1,18.05,18.1,-0.05,16
2019-05-09 00:00:00,23000,415000,18.15,18.15,18,18.1,0,17
2019-05-10 00:00:00,36000,650000,18.1,18.1,17.85,18.1,0,23
2019-05-13 00:00:00,47000,849000,17.95,18.1,17.95,18.1,0,32
2019-05-14 00:00:00,25000,450000,17.9,18.1,17.9,18.05,-0.05,19
2019-05-15 00:00:00,48000,870000,18,18.15,18,18.15,0.1,23
2019-05-16 00:00:00,28000,507000,18.05,18.1,18,18.1,-0.05,14
2019-05-17 00:00:00,42000,759000,18.1,18.1,18,18.05,-0.05,17
2019-05-20 00:00:00,33000,597000,18,18.1,18,18.1,0.05,20
2019-05-21 00:00:00,23000,420000,18.05,18.1,18,18,-0.1,18
2019-05-22 00:00:00,32000,569000,18,18.1,18,18.1,0.1,19
2019-05-23 00:00:00,1163000,20991000,18,18.05,17.95,18.05,-0.05,26
2019-05-24 00:00:00,94000,1708000,18.05,18.3,18.05,18.15,0.1,42
2019-05-27 00:00:00,56000,1018000,18.15,18.2,18.1,18.1,-0.05,24
2019-05-28 00:00:00,37000,669000,18,18.15,18,18.15,0.05,14
2019-05-29 00:00:00,44000,798000,18.15,18.2,18,18.2,0.05,20
2019-05-30 00:00:00,13000,238000,18.2,18.3,18.2,18.2,0,11
2019-05-31 00:00:00,24000,439000,18.3,18.35,18.25,18.35,0.15,18
2019-06-03 00:00:00,12000,223000,18.25,18.35,18.25,18.35,0,8
2019-06-04 00:00:00,42000,765000,18.35,18.45,18.3,18.45,0.1,18
2019-06-05 00:00:00,71000,1326000,18.45,18.8,18.45,18.75,0.3,45
2019-06-06 00:00:00,277000,5424000,18.9,20.4,18.9,19.9,1.15,188
2019-06-10 00:00:00,259000,5104000,20,20.25,19.4,19.85,-0.05,136
2019-06-11 00:00:00,144000,2767000,19.65,19.65,18.8,19.1,-0.75,109
2019-06-12 00:00:00,46000,879000,19.1,19.2,18.9,19.2,0.1,32
2019-06-13 00:00:00,17000,330000,19,19.35,19,19.3,0.1,16
2019-06-14 00:00:00,49000,935000,19.15,19.4,19.15,19.4,0.1,19
2019-06-17 00:00:00,36000,691000,19.1,19.25,18.8,19.25,-0.15,25
2019-06-18 00:00:00,48000,911000,18.95,19.05,18.75,19.05,-0.2,35
2019-06-19 00:00:00,12000,224000,19,19.25,19,19.2,0.15,18
2019-06-20 00:00:00,28000,526000,19.2,19.25,19,19.05,-0.15,20
2019-06-21 00:00:00,18000,347000,19.05,19.05,19,19,-0.05,14
2019-06-24 00:00:00,22000,409000,19,19.05,18.9,19.05,0.05,19
2019-06-25 00:00:00,4000,82000,18.95,18.95,18.95,18.95,-0.1,7
2019-06-26 00:00:00,3000,61000,19,19,19,19,0.05,4
2019-06-27 00:00:00,58000,1098000,19,19,18.7,19,0,33
2019-06-28 00:00:00,2000,40000,19,19,19,19,0,4
2019-07-01 00:00:00,30000,578000,19,19.1,18.9,19.1,0.1,19
2019-07-02 00:00:00,9000,180000,18.85,18.95,18.85,18.95,-0.15,10
2019-07-03 00:00:00,45000,857000,19.05,19.1,18.95,19,0.05,26
2019-07-04 00:00:00,37000,696000,19.1,19.1,19,19,0,23
2019-07-05 00:00:00,15000,291000,19,19,18.9,18.9,-0.1,13
2019-07-08 00:00:00,27000,514000,19.1,19.1,18.9,19,0.1,18
2019-07-09 00:00:00,81000,1522000,18.55,19.05,18.55,19,0,54
2019-07-10 00:00:00,59000,1125000,19,19.3,19,19,0,45
2019-07-11 00:00:00,37000,709000,18.9,19.2,18.9,19.05,0.05,24
2019-07-12 00:00:00,25000,480000,19,19.05,19,19.05,0,25
2019-07-15 00:00:00,45000,863000,19.05,19.1,18.95,19.1,0.05,26
2019-07-16 00:00:00,211000,4066000,19.1,19.5,19.1,19.4,0.3,83
2019-07-17 00:00:00,172000,3355000,19.4,19.6,19.4,19.55,0.15,65
2019-07-18 00:00:00,160000,3151000,19.65,19.75,19.65,19.65,0.1,68
2019-07-19 00:00:00,268000,5238000,19.65,19.7,19.4,19.4,-0.25,145
2019-07-22 00:00:00,115000,2068000,18.1,18.1,17.9,17.9,-0.15,85
2019-07-23 00:00:00,97000,1724000,17.9,17.9,17.6,17.85,-0.05,41
2019-07-24 00:00:00,128000,2324000,17.85,18.15,17.85,18.15,0.3,49
2019-07-25 00:00:00,47000,851000,18.1,18.15,18.05,18.1,-0.05,17
2019-07-26 00:00:00,22000,400000,18.1,18.1,18.1,18.1,0,4
2019-07-29 00:00:00,27000,493000,17.95,18.1,17.95,18.1,0,19
2019-07-30 00:00:00,21000,371000,18,18.05,17.95,18,-0.1,16
2019-07-31 00:00:00,6000,108000,18,18.05,18,18.05,0.05,6
2019-08-01 00:00:00,9000,164000,18.05,18.1,18,18,-0.05,9
2019-08-02 00:00:00,47000,837000,18,18.05,17.85,17.85,-0.15,28
2019-08-05 00:00:00,33000,594000,17.9,17.95,17.9,17.9,0.05,22
2019-08-06 00:00:00,28000,495000,17.8,17.85,17.5,17.85,-0.05,18
2019-08-07 00:00:00,10000,184000,18,18,17.8,17.95,0.1,7
2019-08-08 00:00:00,67000,1200000,17.8,18,17.8,17.95,0,10
2019-08-12 00:00:00,34000,623000,18,18.25,18,18.05,0.1,29
2019-08-13 00:00:00,36000,649000,18,18.05,17.95,18.05,0,20
2019-08-14 00:00:00,21000,385000,18.05,18.05,17.95,17.95,-0.1,20
2019-08-15 00:00:00,26000,472000,17.75,17.9,17.7,17.85,-0.1,20
2019-08-16 00:00:00,23000,415000,17.8,18,17.8,18,0.15,16
2019-08-19 00:00:00,28000,504000,18,18.1,17.9,18.1,0.1,16
2019-08-20 00:00:00,34000,613000,18.1,18.1,18,18.05,-0.05,20
2019-08-21 00:00:00,42000,745000,18,18,17.75,17.95,-0.1,34
2019-08-22 00:00:00,32000,580000,17.95,18,17.9,17.9,-0.05,20
2019-08-23 00:00:00,42000,758000,17.9,17.9,17.8,17.85,-0.05,41
2019-08-26 00:00:00,90000,1582000,17.95,17.95,17.5,17.85,0,55
2019-08-27 00:00:00,55000,975000,17.9,17.95,17.75,17.95,0.1,20
2019-08-28 00:00:00,5000,90000,17.95,17.95,17.85,17.85,-0.1,18
2019-08-29 00:00:00,19000,333000,17.85,17.85,17.8,17.85,0,14
2019-08-30 00:00:00,97000,1724000,17.85,17.95,17.8,17.95,0.1,40
2019-09-02 00:00:00,10000,170000,17.95,17.95,17.8,17.85,-0.1,11
2019-09-03 00:00:00,38000,676000,17.85,18,17.85,18,0.15,21
2019-09-04 00:00:00,60000,1080000,18,18.05,18,18,0,21
2019-09-05 00:00:00,17000,312000,18,18.05,18,18.05,0.05,22
2019-09-06 00:00:00,33000,591000,18.1,18.15,18.05,18.15,0.1,24
2019-09-09 00:00:00,30000,536000,18,18.1,18,18.1,-0.05,22
2019-09-10 00:00:00,21000,372000,17.85,18.1,17.85,18.05,-0.05,18
2019-09-11 00:00:00,16000,282000,18.05,18.05,17.95,17.95,-0.1,14
2019-09-12 00:00:00,10000,172000,18,18,17.9,17.95,0,10
2019-09-16 00:00:00,86000,1542000,18,18.05,17.9,18,0.05,30
2019-09-17 00:00:00,28000,497000,18,18.1,17.95,18,0,22
2019-09-18 00:00:00,28000,493000,17.9,18,17.9,17.95,-0.05,14
2019-09-19 00:00:00,57000,1030000,18,18,17.9,17.9,-0.05,23
2019-09-20 00:00:00,30000,546000,17.95,18,17.9,17.95,0.05,12
2019-09-23 00:00:00,61000,1095000,17.9,18.15,17.9,18.1,0.15,40
2019-09-24 00:00:00,68000,1234000,18.15,18.3,18.15,18.15,0.05,39
2019-09-25 00:00:00,49000,891000,18.15,18.15,18.05,18.15,0,22
2019-09-26 00:00:00,48000,869000,18.1,18.1,18,18.1,-0.05,27
2019-09-27 00:00:00,56000,1000000,18,18.1,18,18.1,0,26
2019-10-01 00:00:00,24000,441000,17.95,18.1,17.9,18.1,0,18
